,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,period
234,600408,安泰集团,-0.28,-51.72,,-34.21,,-28192.88,-51.55,,04-21,2017_4
235,603996,中新科技,0.49,25.64,,10.13,,14604.5,24.17,10派0.5,04-21,2017_4
236,600126,杭钢股份,0.69,115.63,,11.4,,179574.45,147.53,10转3,04-21,2017_4
237,000166,申万宏源,0.23,-14.81,,8.61,,459968.34,-14.96,10派0.5,04-21,2017_4
238,603123,翠微股份,0.28,33.33,,4.87,,14442.83,28.83,10派1.2,04-21,2017_4
239,002698,博实股份,0.19,18.75,,6.95,,12954.42,17.96,10派0.8,04-21,2017_4
240,600781,辅仁药业,0.94,840.0,,15.54,,39200.38,2120.14,10派1.28,04-21,2017_4
241,000548,湖南投资,0.26,116.67,,8.19,,13040.0,122.21,10派0.5,04-21,2017_4
242,002678,珠江钢琴,0.17,6.25,,6.9,,16470.13,8.72,10派0.8转3,04-21,2017_4
243,002181,粤传媒,0.06,-61.7,,1.88,,7255.12,-61.72,10派0.07,04-20,2017_4
244,603477,振静股份,0.35,9.38,,13.48,,6238.72,7.02,,04-20,2017_4
245,603638,艾迪精密,0.81,34.76,,18.1,,13968.72,75.94,,04-20,2017_4
246,300463,迈克生物,0.67,19.64,,15.59,,37413.22,19.91,10派1.35,04-20,2017_4
247,600072,中船科技,0.04,-151.25,,0.84,,3041.92,-170.86,,04-20,2017_4
248,600097,开创国际,0.51,1175.0,,14.02,,12255.36,1457.56,10派1.55,04-20,2017_4
249,300703,创源文化,0.93,-26.19,,21.06,,6052.6,-19.92,10派3.5转5,04-20,2017_4
250,300280,南通锻压,0.04,101.71,,0.71,,451.95,102.08,,04-20,2017_4
251,300332,天壕环境,0.1,25.0,,2.62,,9017.23,54.48,10派0.21,04-20,2017_4
252,600890,中房股份,0.01,-119.17,,2.78,,805.56,-119.17,,04-20,2017_4
253,600969,郴电国际,0.11,-69.88,,0.93,,3019.59,-69.87,10派0.457转4,04-20,2017_4
254,603871,嘉友国际,3.44,41.48,,43.82,,20622.06,41.47,,04-20,2017_4
255,300045,华力创通,0.15,63.33,,6.68,,8131.71,59.36,10派0.15,04-20,2017_4
256,603937,丽岛新材,0.58,3.57,,11.75,,9600.14,9.2,10派0.5,04-20,2017_4
257,002668,奥马电器,0.61,-66.85,,11.66,,38149.2,25.15,10派0.62转7,04-20,2017_4
258,300261,雅本化学,0.14,348.36,,7.05,,7316.92,351.52,10派0.6转5,04-20,2017_4
259,600831,广电网络,0.29,26.07,,6.11,,17608.43,32.12,10派0.4,04-20,2017_4
260,002195,二三四五,0.29,-12.12,,13.35,,94754.54,49.23,10派0.3转3,04-20,2017_4
261,300317,珈伟股份,0.37,-48.74,,6.67,,31482.03,0.25,10派0.2,04-20,2017_4
262,000657,中钨高新,0.2,860.85,,4.22,,12807.22,862.66,10转4,04-20,2017_4
263,300338,开元股份,0.49,1994.02,,8.63,,16008.04,2617.09,10派0.15,04-20,2017_4
264,002817,黄山胶囊,0.54,-28.95,,7.18,,4642.04,-11.22,,04-20,2017_4
265,300411,金盾股份,0.4,48.15,,6.64,,7115.06,66.8,10派0.5转8,04-20,2017_4
266,603833,欧派家居,3.21,26.38,,25.75,,130013.2,36.92,10派10,04-20,2017_4
267,300478,杭州高新,0.64,20.75,,7.98,,4234.0,19.89,10派1.5转9,04-20,2017_4
268,000885,同力水泥,1.22,1260.85,,12.09,,60285.08,1312.02,10派0.1,04-20,2017_4
269,603882,金域医学,0.46,4.55,,14.52,,18850.54,10.86,,04-20,2017_4
270,600111,北方稀土,0.11,342.0,,4.69,,40133.58,341.83,10派0.35,04-20,2017_4
271,600160,巨化股份,0.44,450.0,,8.82,,93546.06,518.57,10派1转3,04-20,2017_4
272,603335,迪生力,0.05,-80.77,,2.69,,1215.92,-75.77,10派0.5,04-20,2017_4
273,603378,亚士创能,0.72,-14.29,,14.13,,11373.48,-7.08,10派1.8,04-20,2017_4
274,002287,奇正藏药,0.74,3.8,,16.78,,30084.24,3.79,10派4.1,04-20,2017_4
275,000766,通化金马,0.27,17.39,,6.07,,25787.93,20.81,,04-20,2017_4
276,300439,美康生物,0.62,19.23,,13.84,,21419.32,20.68,10派1.25,04-20,2017_4
277,603798,康普顿,0.6,-50.41,,14.85,,11953.67,5.64,10派2,04-20,2017_4
278,002922,伊戈尔,0.79,9.72,,16.27,,7775.55,8.55,10派2,04-20,2017_4
279,603922,金鸿顺,0.87,-21.62,,14.19,,9057.77,-14.86,,04-20,2017_4
280,000950,*ST建峰,0.64,-157.66,,17.7,,110626.62,-266.49,,04-20,2017_4
281,603985,恒润股份,1.27,-19.83,,11.93,,9069.61,-4.24,10派3.5转3,04-20,2017_4
282,300606,金太阳,0.63,4.88,,13.22,,5496.4,36.7,,04-20,2017_4
283,600703,三安光电,0.78,47.17,,17.13,,316421.09,46.04,10派2.5,04-20,2017_4
